,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2072,5.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2073,4.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2074,4.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2075,6.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
2076,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
2077,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2078,5.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2079,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2080,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2081,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2082,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2083,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
2084,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0
2085,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0
2086,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0
2087,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
2088,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2089,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0
2090,6.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2091,5.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0
2092,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2093,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
2094,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
2095,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2096,7.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2097,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2098,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2099,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
2100,7.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
2101,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
